,Row Names,pclass,Name,Age,Embarked,Current Home Destination,Room,Ticket #,Boat #,Gender,Had Chronic Illness (Y/N),Birth Town,Birth Town,Survived (Y/N)
194,195,1st,"Ostby, Miss Helen Raghnild",22,Cherbourg,"Providence, RI",,,5,female,Y,CAPE TOWN,SOUTH AFRICA,Y
195,196,1st,"Ovies y Rodriguez, Mr Servando",28,,"?Havana, Cuba",,,-189,male,N,KUALA LUMPUR,MALAYSIA,N
196,197,1st,"Parr, Mr William Henry Marsh",,,Belfast,,,,male,Y,CHICAGO,UNITED STATES,N
197,198,1st,"Partner, Mr Austin",,Southampton,"Surbiton Hill, Surrey",,,-166,male,Y,KUALA LUMPUR,MALAYSIA,N
198,199,1st,"Payne, Mr Vivian Ponsonby",22,Southampton,"Montreal, PQ",,,,male,N,KUALA LUMPUR,MALAYSIA,N
199,200,1st,"Pears, Mr Thomas",,Southampton,"Isleworth, England",,,,male,N,HONOLULU,HAWAII,N
200,201,1st,"Pears, Mrs Thomas (Edith)",,Southampton,"Isleworth, England",,,8,female,Y,SYDNEY,AUSTRALIA,Y
201,202,1st,"Penasco, Mr Victor de Satode",18,Cherbourg,"Madrid, Spain",,,,male,N,VANCOUVER,BRITISH COLUMBIA,N
202,203,1st,"Penasco, Mrs Victor de Satode (Josefa de Soto)",17,Cherbourg,"Madrid, Spain",,,8,female,Y,MONTREAL,CANADA,Y
203,204,1st,"Peuchen, Major Arthur Godfrey",52,Southampton,"Toronto, ON",C-104,,6,male,N,SANTA MONICA,UNITED STATES,Y
204,205,1st,"Porter, Mr Walter Chamberlain",46,Southampton,"Worcester, MA",,,-207,male,Y,HONG KONG,CHINA,N
205,206,1st,"Potter, Mrs Thomas, Jr. (Lily Alexenia Wilson)",56,Cherbourg,"Mt Airy, Philadelphia, PA",,,7,female,Y,BARCELONA,SPAIN,Y
206,207,1st,"Reuchlin, Jonkheer John George",,Southampton,"Rotterdam, Netherlands",,,,male,N,ISTANBUL,TURKEY,N
207,208,1st,"Rheims, Mr George Lucien",,Cherbourg,"Paris /  New York, NY",,17604 L39 12s,A,male,N,EDINBURGH,SCOTLAND,Y
208,209,1st,"Robert, Mrs Edward Scott (Elisabeth Walton McMillan)",43,Southampton,"St Louis, MO",B-3,24160 L221,2,female,N,NICE,FRANCE,Y
209,210,1st,"Roebling, Mr Washington Augustus 2nd",31,Southampton,"Trenton, NJ",,,,male,N,RIO DE JANEIRO,BRAZIL,N
210,211,1st,"Romaine, Mr Charles Hallace",,Southampton,"New York, NY",,,15,male,N,RIO DE JANEIRO,BRAZIL,Y
211,212,1st,"Rood, Mr Hugh R.",,Southampton,"Seattle, WA",,,,male,N,HONOLULU,HAWAII,N
212,213,1st,"Rosenbaum (Russell), Miss Edith Louise",33,Cherbourg,"Paris, France",A-11,17613 L27 14s 5d,11,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
213,214,1st,"Ross, Mr John Hugo",,Cherbourg,"Winnipeg, MB",,,,male,N,,,N
214,215,1st,"Rothes, the Countess of (Noel Lucy Martha Dyer-Edwardes)",27,Southampton,"London  Vancouver, BC",,,8,female,N,TEL AVIV,ISRAEL,Y
215,216,1st,"Rothschild, Mr Martin",55,Cherbourg,"New York, NY",,,,male,N,CHICAGO,UNITED STATES,N
216,217,1st,"Rothschild, Mrs Martin (Elizabeth L. Barrett)",54,Cherbourg,"New York, NY",,,6,female,N,MIAMI BEACH,FLORIDA,Y
217,218,1st,"Rowe, Mr Alfred G.",,Southampton,London,,,-109,male,N,ISTANBUL,TURKEY,N
218,219,1st,"Ryerson, Mr Arthur Larned",61,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,,male,N,BEIJING,CHINA,N
219,220,1st,"Ryerson, Mrs Arthur Larned (Emily Maria Borie)",48,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female,N,MIAMI BEACH,FLORIDA,Y
220,221,1st,"Ryerson, Miss Emily Borie",18,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female,Y,SYDNEY,AUSTRALIA,Y
221,222,1st,"Ryerson, Master John Borie",13,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,male,Y,,,Y
222,223,1st,"Ryerson, Miss Susan (Suzette) Parker",21,Cherbourg,"Haverford, PA / Cooperstown, NY",,17608 L262 7s 6d,4,female,Y,CAPE TOWN,SOUTH AFRICA,Y
223,224,1st,"Saalfeld, Mr Adolphe",,Southampton,"Manchester, England",,,3,male,Y,TEL AVIV,ISRAEL,Y
224,225,1st,"Salomon, Mr Abraham L.",,Southampton,"New York, NY",,,1,male,Y,SYDNEY,AUSTRALIA,Y
225,226,1st,"Schabert, Mrs Paul (Emma Mock)",,Cherbourg,"New York, NY",,,11,female,Y,HONG KONG,CHINA,Y
226,227,1st,"Seward, Mr Frederic Kimber",34,Southampton,"New York, NY",,,7,male,N,TEL AVIV,ISRAEL,Y
227,228,1st,"Shutes, Miss Elizabeth W.",40,Southampton,"New York, NY / Greenwich CT",C-125,17582 L153 9s 3d,3,female,N,,,Y
228,229,1st,"Silverthorne, Mr Spencer Victor",36,Southampton,"St Louis, MO",,,5,male,Y,MIAMI BEACH,FLORIDA,Y
229,230,1st,"Silvey, Mr William Baird",50,,"Duluth, MN",,,,male,Y,HONG KONG,CHINA,N
230,231,1st,"Silvey, Mrs William Baird (Alice Munger)",39,,"Duluth, MN",,,,female,Y,BARCELONA,SPAIN,Y
231,232,1st,"Simonius-Blumer, Col Alfons",56,,"Basel, Switzerland",,,3,male,N,LONDON,UNITED KINGDOM,Y
232,233,1st,"Sloper, Mr William Thompson",28,Southampton,"New Britain, CT",,,7,male,N,,,Y
233,234,1st,"Smart, Mr John Montgomery",56,Southampton,"New York, NY",,,,male,N,HONOLULU,HAWAII,N
234,235,1st,"Smith, Mr James Clinch",56,Cherbourg,"St James, Long Island, NY",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
235,236,1st,"Smith, Mr Lucien Philip",24,Southampton,"Huntington, WV",,,,male,N,EDINBURGH,SCOTLAND,N
236,237,1st,"Smith, Mrs Lucien Philip (Mary Eloise Hughes",18,Southampton,"Huntington, WV",,,6,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
237,238,1st,"Smith, Mr Richard William",,Southampton,"Streatham, Surrey",,,,male,N,ISTANBUL,TURKEY,N
238,239,1st,"Snyder, Mr John Pillsbury",24,Southampton,"Minneapolis, MN",,,7,male,Y,,,Y
239,240,1st,"Snyder, Mrs John Pillsbury (Nelle Stevenson)",23,Southampton,"Minneapolis, MN",,,7,female,Y,SYDNEY,AUSTRALIA,Y
240,241,1st,"Spedden, Mr Frederick Oakley",45,Cherbourg,"Tuxedo Park, NY",,,3,male,Y,CAPE TOWN,SOUTH AFRICA,Y
241,242,1st,"Spedden, Mrs Frederick Oakley (Margaretta Corning Stone)",40,Cherbourg,"Tuxedo Park, NY",,,3,female,N,SYDNEY,AUSTRALIA,Y
242,243,1st,"Spedden, Master Robert Douglas",6,Cherbourg,"Tuxedo Park, NY",,,3,male,N,NICE,FRANCE,Y
243,244,1st,"Spencer, Mr William Augustus",57,Cherbourg,"Paris, France",,,,male,Y,RIO DE JANEIRO,BRAZIL,N
244,245,1st,"Spencer, Mrs William Augustus (Marie Eugenie)",,Cherbourg,"Paris, France",,,6,female,N,LONDON,UNITED KINGDOM,Y
245,246,1st,"Staehlin, Dr Max",32,Cherbourg,"Basel, Switzerland",,,3,male,N,MIAMI BEACH,FLORIDA,Y
246,247,1st,"Stead, Mr William Thomas",62,Southampton,"Wimbledon Park, London / Hayling Island, Hants",C-89,,,male,N,KUALA LUMPUR,MALAYSIA,N
247,248,1st,"Stengel, Mr Charles Emil Henry",54,Cherbourg,"Newark, NJ",,,1,male,Y,MIAMI BEACH,FLORIDA,Y
248,249,1st,"Stengel, Mrs Charles Emil Henry (Annie May Morris)",43,Cherbourg,"Newark, NJ",,,5,female,Y,MIAMI BEACH,FLORIDA,Y
249,250,1st,"Stephenson, Mrs Walter Bertram (Martha Eustis)",52,,"Haverford, PA",,,4,female,Y,,,Y
250,251,1st,"Stewart, Mr Albert A.",,Cherbourg,"Gallipolis, Ohio / ? Paris / New York",,,,male,Y,RIO DE JANEIRO,BRAZIL,N
251,252,1st,"Stone, Mrs George Nelson (Martha E.)",62,,"Cincinatti, OH",,,6,female,N,HONG KONG,CHINA,Y
252,253,1st,"Straus, Mr Isidor",67,Southampton,"New York, NY",,17483 L221 15s 7d,-96,male,N,MIAMI BEACH,FLORIDA,N
253,254,1st,"Straus, Mrs Isidor (Ida Blun)",63,Southampton,"New York, NY",,17483 L221 15s 7d,,female,N,SANTA MONICA,UNITED STATES,N
254,255,1st,"Sutton, Mr Frederick",61,Southampton,"Haddenfield, NJ",,,-46,male,N,LONDON,UNITED KINGDOM,N
255,256,1st,"Swift, Mrs Frederick Joel (Margaret Welles Barron)",46,Southampton,"Brooklyn, NY",,,8,female,N,NICE,FRANCE,Y
256,257,1st,"Taussig, Mr Emil",52,Southampton,"New York, NY",,,,male,Y,LONDON,UNITED KINGDOM,N
257,258,1st,"Taussig, Mrs Emil (Tillie Mandelbaum)",39,Southampton,"New York, NY",,,8,female,N,TEL AVIV,ISRAEL,Y
258,259,1st,"Taussig, Miss Ruth",18,Southampton,"New York, NY",,,8,female,N,ISTANBUL,TURKEY,Y
259,260,1st,"Taylor, Mr Elmer Zebley",48,Southampton,"London /  East Orange, NJ",C-126,,5,male,Y,RIO DE JANEIRO,BRAZIL,Y
260,261,1st,"Taylor, Mrs Elmer Zebley (Juliet Cummins Wright)",,Southampton,"London /  East Orange, NJ",C-126,,5,female,Y,MIAMI BEACH,FLORIDA,Y
261,262,1st,"Thayer, Mr John Borland",49,Cherbourg,"Haverford, PA",,,,male,N,BEIJING,CHINA,N
262,263,1st,"Thayer, Mrs John Borland (Marian Longstreth Morris)",39,Cherbourg,"Haverford, PA",,,4,female,N,SYDNEY,AUSTRALIA,Y
263,264,1st,"Thayer, Mr John Borland, jr.",17,Cherbourg,"Haverford, PA",,,B,male,Y,BEIJING,CHINA,Y
264,265,1st,"Thorne, Mr George (alias of: Mr George Rosenshine)",46,Cherbourg,"New York, NY",,,,male,N,HONOLULU,HAWAII,N
265,266,1st,"Thorne, Mrs Gertrude Maybelle",,Cherbourg,"New York, NY",,,D,female,Y,MIAMI BEACH,FLORIDA,Y
266,267,1st,"Tucker, Mr Gilbert Milligan, jr",31,Cherbourg,"Albany, NY",,,7,male,N,HONOLULU,HAWAII,Y
267,268,1st,"Uruchurtu, Mr Manuel E.",,Cherbourg,"Mexico City, Mexico",,,,male,N,MONTREAL,CANADA,N
268,269,1st,"Van Derhoef, Mr Wyckoff",61,Southampton,"Brooklyn, NY",,,-245,male,Y,MONTREAL,CANADA,N
269,270,1st,"Walker, Mr William Anderson",47,Southampton,"East Orange, NJ",,,,male,N,ISTANBUL,TURKEY,N
270,271,1st,"Warren, Mr Frank Manley",64,Cherbourg,"Portland, OR",,,,male,N,MONTREAL,CANADA,N
271,272,1st,"Warren, Mrs Frank Manley (Anna S. Atkinson)",60,Cherbourg,"Portland, OR",,,5,female,N,ISTANBUL,TURKEY,Y
272,273,1st,"Weir, Col John",60,Southampton,"England Salt Lake City, Utah",,,,male,N,BARCELONA,SPAIN,N
273,274,1st,"White, Mrs J. Stuart (Ella Holmes)",55,Cherbourg,"New York, NY / Briarcliff Manor NY",,,8,female,N,VANCOUVER,BRITISH COLUMBIA,Y
274,275,1st,"White, Mr Percival Wayland",54,Southampton,"Brunswick, ME",,,,male,N,HONG KONG,CHINA,N
275,276,1st,"White, Mr Richard Frasar",21,Southampton,"Brunswick, ME",,,-169,male,N,,,N
276,277,1st,"Wick, Mr George Dennick",57,Southampton,"Youngstown, OH",,,,male,N,NEW YORK,UNITED STATES,N
277,278,1st,"Wick, Mrs George Dennick (Martha Hitchcock)",45,Southampton,"Youngstown, OH",,,8,female,N,SYDNEY,AUSTRALIA,Y
278,279,1st,"Wick, Miss Mary Natalie",31,Southampton,"Youngstown, OH",C-7,,8,female,Y,TEL AVIV,ISRAEL,Y
279,280,1st,"Widener, Mr George Dunton",50,Cherbourg,"Elkins Park, PA",,,,male,N,LONDON,UNITED KINGDOM,N
280,281,1st,"Widener, Mrs George Dunton (Eleanor Elkins)",50,Cherbourg,"Elkins Park, PA",,,4,female,Y,MIAMI BEACH,FLORIDA,Y
281,282,1st,"Widener, Mr Harry Elkins",27,Cherbourg,"Elkins Park, PA",,,,male,N,NEW YORK,UNITED STATES,N
282,283,1st,"Willard, Miss Constance",20,Southampton,"Duluth, MN",,,,female,N,HONOLULU,HAWAII,Y
283,284,1st,"Williams, Mr Charles Duane",51,Cherbourg,"Geneva, Switzerland / Radnor, PA",,,,male,Y,ISTANBUL,TURKEY,N
284,285,1st,"Williams, Mr Fletcher Lambert",,Southampton,"London, England",,,,male,N,CHICAGO,UNITED STATES,N
285,286,1st,"Williams, Mr Richard Norris II",21,Cherbourg,"Geneva, Switzerland / Radnor, PA",,,A,male,Y,ISTANBUL,TURKEY,Y
286,287,1st,"Woolner, Mr Hugh",,Southampton,"London, England",,,D,male,Y,HONOLULU,HAWAII,Y
287,288,1st,"Wright, Mr George",,Southampton,"Halifax, NS",,,,male,N,BEIJING,CHINA,N
288,289,1st,"Young, Miss Marie Grice",36,Cherbourg,"New York, NY / Washington, DC",,,8,female,N,SANTA MONICA,UNITED STATES,Y
289,290,1st,"Barber, Ms ",,Southampton,,,,,female,N,HONOLULU,HAWAII,Y
290,291,1st,"Bazzani, Ms Albina",,Cherbourg,,,,,female,Y,RIO DE JANEIRO,BRAZIL,Y
291,292,1st,"Bidois, Miss Rosalie",,Cherbourg,,,17754,,female,N,VANCOUVER,BRITISH COLUMBIA,Y
292,293,1st,"Bird, Ms Ellen",,Southampton,,C-97,17483,,female,N,HONG KONG,CHINA,Y
293,294,1st,"Bissetti, Ms Amelia",,Cherbourg,,C-99,,,female,Y,,,Y
294,295,1st,"Burns, Ms Elizabeth Margaret",,Cherbourg,,,,,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
295,296,1st,"Chaudanson, Ms 	Victorine",,Cherbourg,,,17608,,female,N,HONG KONG,CHINA,Y
296,297,1st,"Cleaver, Ms Alice",,Southampton,,C22,,11,female,N,TEL AVIV,ISRAEL,Y
297,298,1st,"Daniels, Ms Sarah",,Southampton,,C-22,,8,female,Y,,,Y
298,299,1st,"Endres, Miss Caroline Louise",,Cherbourg,"New York, NY",C-45,17754 L224 10s 6d,4,female,N,SANTA MONICA,UNITED STATES,Y
299,300,1st,"Farthing, Mr John",,Southampton,,C-55 (?C-95),17483,,male,N,ISTANBUL,TURKEY,N
300,301,1st,"Fleming, Ms Margaret",,Cherbourg,,,,4,female,N,MIAMI BEACH,FLORIDA,N
301,302,1st,"Francatelli, Ms Laura Mabel",,Cherbourg,,,17485,,female,N,HONOLULU,HAWAII,Y
302,303,1st,"Fry, Mr Richard",,Southampton,,B-102,112058,,male,N,HONG KONG,CHINA,N
303,304,1st,"Geiger, Miss Emily ",,Cherbourg,,,,,female,N,HONOLULU,HAWAII,Y
304,305,1st,"Giglio, Mr Victor",,Cherbourg,,B-86,17593,,male,N,CHICAGO,UNITED STATES,N
305,306,1st,"Harrington, Mr Charles",,Southampton,,,,,male,N,MONTREAL,CANADA,N
306,307,1st,"Harrison, Mr William 	Henry",40,Southampton,,,112059,-110,male,N,MONTREAL,CANADA,N
307,308,1st,"Hassah, Mr Hamad",,Cherbourg,,,,,male,N,BEIJING,CHINA,N
308,309,1st,"Icabad (Icabod), Ms",,,,,,,female,N,,,Y
309,310,1st,"Keeping, Mr Edwin",32,Cherbourg,,,,-45,male,N,VANCOUVER,BRITISH COLUMBIA,N
310,311,1st,"Kenchen, Ms Amelia",,Southampton,,,,2,female,N,RIO DE JANEIRO,BRAZIL,Y
311,312,1st,"LeRoy, Miss Berthe",,Cherbourg,,,,2,female,N,TEL AVIV,ISRAEL,Y
312,313,1st,"Lesneur, Mr Gustave",,Cherbourg,,B-?,,,male,N,EDINBURGH,SCOTLAND,N
313,314,1st,"Maloney, Ms",,Southampton,,,,8,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
314,315,1st,"Oliva, Mlle",,Cherbourg,,,,,female,Y,MONTREAL,CANADA,N
315,316,1st,"Pericault, Ms",,Southampton,,,,,female,Y,LONDON,UNITED KINGDOM,Y
316,317,1st,"Ringhini, Mr Sante",33,Cherbourg,,,,-232,male,Y,ISTANBUL,TURKEY,N
317,318,1st,"Robbins, Mr Victor",,Cherbourg,,C-62,17754,,male,N,EDINBURGH,SCOTLAND,N
318,319,1st,"Segesser, Mlle. Emma",,Cherbourg,,,,,female,N,NICE,FRANCE,Y
319,320,1st,"Seredeca, Ms",,Southampton,,,,,female,N,SANTA MONICA,UNITED STATES,N
320,321,1st,"Ward, Ms Anna",,Cherbourg,,,,,female,Y,HONG KONG,CHINA,N
321,322,1st,"Wilson, Ms Helen",,Cherbourg,,,,,female,Y,,,Y
322,323,2nd,"Abelson, Mr Samuel",30,Cherbourg,"Russia New York, NY",,,,male,Y,EDINBURGH,SCOTLAND,N
323,324,2nd,"Abelson, Mrs Samuel (Anna)",28,Cherbourg,"Russia New York, NY",,,12,female,N,MIAMI BEACH,FLORIDA,Y
324,325,2nd,"Andrew, Mr Edgar Samuel",18,Southampton,"Buenos Aires, Argentina / New Jersey, NJ",,,,male,N,ISTANBUL,TURKEY,N
325,326,2nd,"Andrew, Mr Frank",,Southampton,"Cornwall, England Houghton, MI",,,,male,N,ISTANBUL,TURKEY,N
326,327,2nd,"Angle, Mr William A.",34,Southampton,"Warwick, England",,,,male,Y,MONTREAL,CANADA,N
327,328,2nd,"Angle, Mrs William A. (Florence)",32,Southampton,"Warwick, England",,,,female,Y,,,Y
328,329,2nd,"Ashby, Mr John",57,Southampton,"West Hoboken, NJ",,,,male,N,,,N
329,330,2nd,"Bailey, Mr Percy Andrew",18,Southampton,"Penzance, Cornwall / Akron, OH",,,,male,N,LONDON,UNITED KINGDOM,N
330,331,2nd,"Baimbrigge, Mr Charles R.",23,Southampton,Guernsey,,,,male,Y,EDINBURGH,SCOTLAND,N
331,332,2nd,"Balls, Mrs Ada E. Hall",36,Southampton,"Bristol, Avon / Jacksonville, FL",,,,female,N,MIAMI BEACH,FLORIDA,Y
332,333,2nd,"Banfield, Mr Frederick J.",28,Southampton,"Plymouth, Dorset / Houghton, MI",,,,male,Y,LONDON,UNITED KINGDOM,N
333,334,2nd,"Bateman, Rev Robert James",51,Southampton,"Jacksonville, FL",,,-174,male,N,EDINBURGH,SCOTLAND,N
334,335,2nd,"Beane, Mr Edward",32,Southampton,"Norwich / New York, NY",,,,male,N,CHICAGO,UNITED STATES,Y
335,336,2nd,"Beane, Mrs Edward (Ethel Clarke)",19,Southampton,"Norwich / New York, NY",,,,female,Y,VANCOUVER,BRITISH COLUMBIA,Y
336,337,2nd,"Beauchamp, Mr Henry James",28,Southampton,England,,,,male,Y,HONOLULU,HAWAII,N
337,338,2nd,"Becker, Mrs Allen Oliver (Nellie E. Baumgardner)",36,Southampton,"Guntur, India / Benton Harbour, MI",,230136 L39,11,female,Y,,,Y
338,339,2nd,"Becker, Miss Marion Louise",4,Southampton,"Guntur, India / Benton Harbour, MI",,230136 L39,11,female,N,VANCOUVER,BRITISH COLUMBIA,Y
339,340,2nd,"Becker, Master Richard F.",1,Southampton,"Guntur, India / Benton Harbour, MI",,230136 L39,11,male,Y,NICE,FRANCE,Y
340,341,2nd,"Becker, Miss Ruth Elizabeth",12,Southampton,"Guntur, India / Benton Harbour, MI",,230136 L39,13,female,N,BEIJING,CHINA,Y
341,342,2nd,"Beesley, Mr Lawrence",34,Southampton,London,D-56,248698 L13,13,male,N,MIAMI BEACH,FLORIDA,Y
342,343,2nd,"Bentham, Miss Lilian W.",19,Southampton,"Rochester, NY",,,12,female,N,EDINBURGH,SCOTLAND,Y
343,344,2nd,"Berriman, Mr William S.",23,Southampton,"St Ives, Cornwall / Calumet, MI",,,,male,N,VANCOUVER,BRITISH COLUMBIA,N
344,345,2nd,"Botsford, Mr William Hull",26,Southampton,"Elmira, NY / Orange, NJ",,,,male,N,TEL AVIV,ISRAEL,N
345,346,2nd,"Bowenur, Mr Solomon",,Southampton,London,,,,male,N,MIAMI BEACH,FLORIDA,N
346,347,2nd,"Bracken, Mr James H.",27,Southampton,"Lake Arthur, Chavez County, NM",,,,male,Y,RIO DE JANEIRO,BRAZIL,N
347,348,2nd,"Brown, Miss Edith E.",15,Southampton,"Cape Town, South Africa / Seattle, WA",,,14,female,N,NICE,FRANCE,Y
348,349,2nd,"Brown, Mr Thomas William Solomon",45,Southampton,"Cape Town, South Africa / Seattle, WA",,,,male,N,KUALA LUMPUR,MALAYSIA,N
349,350,2nd,"Brown, Mrs Thomas William Solomon (Elizabeth C.)",40,Southampton,"Cape Town, South Africa / Seattle, WA",,,14,female,Y,KUALA LUMPUR,MALAYSIA,Y
350,351,2nd,"Bryhl, Miss Dagmar",20,Southampton,"Skara, Sweden / Rockford, IL",,,12,female,Y,SYDNEY,AUSTRALIA,Y
351,352,2nd,"Bryhl, Mr Kurt Arnold Gottfrid",25,Southampton,"Skara, Sweden / Rockford, IL",,,,male,Y,SANTA MONICA,UNITED STATES,N
352,353,2nd,"Buss, Miss Kate",36,Southampton,"Sittingbourne, England / San Diego, CA",E-?,27849,9,female,N,NICE,FRANCE,Y
353,354,2nd,"Butler, Mr Reginald Fenton",25,Southampton,"Southsea, Hants",,,-97,male,Y,,,N
354,355,2nd,"Byles, Rev. Thomas Roussel D.",,Southampton,London,,,,male,N,ISTANBUL,TURKEY,N
355,356,2nd,"Bystrom, Mrs Carolina",42,Southampton,"New York, NY",,,,female,Y,MONTREAL,CANADA,Y
356,357,2nd,"Caldwell, Mr Albert Francis",26,Southampton,"Bangkok, Thailand / Roseville, IL",,,13,male,Y,,,Y
357,358,2nd,"Caldwell, Mrs Albert Francis (Sylvia Mae Harbaugh)",26,Southampton,"Bangkok, Thailand / Roseville, IL",,,13,female,Y,HONG KONG,CHINA,Y
358,359,2nd,"Caldwell, Master Alden Gates",0.8333,Southampton,"Bangkok, Thailand / Roseville, IL",,,13,male,Y,CAPE TOWN,SOUTH AFRICA,Y
359,360,2nd,"Cameron, Miss Clear",31,Southampton,"Mamaroneck, NY",,,,female,Y,MIAMI BEACH,FLORIDA,Y
360,361,2nd,"Campbell, Mr William",,,Belfast,,,,male,Y,CAPE TOWN,SOUTH AFRICA,N
361,362,2nd,"Carbines, Mr William",19,Southampton,"St Ives, Cornwall / Calumet, MI",,,-18,male,Y,SANTA MONICA,UNITED STATES,N
362,363,2nd,"Carter, Rev Ernest Courtenay",54,Southampton,London,,,,male,Y,,,N
363,364,2nd,"Carter, Mrs Ernest Courtenay (Lillian Hughes)",44,Southampton,London,,,,female,N,CHICAGO,UNITED STATES,N
364,365,2nd,"Chapman, Mr Charles Henry",52,Southampton,"Bronx, NY",,,-130,male,Y,CAPE TOWN,SOUTH AFRICA,N
365,366,2nd,"Chapman, Mr John Henry",30,Southampton,"Cornwall / Spokane, WA",,,-17,male,N,,,N
366,367,2nd,"Chapman, Mrs John Henry (Elizabeth Lawry)",30,Southampton,"Cornwall / Spokane, WA",,,,female,Y,,,N
367,368,2nd,"Christy, Mrs Alice Frances",,Southampton,London,,,,female,Y,,,Y
368,369,2nd,"Christy, Miss Julie",,Southampton,London,,,,female,N,MIAMI BEACH,FLORIDA,Y
369,370,2nd,"Clarke, Mr Charles V.",29,Southampton,"England / San Francisco, CA",,,,male,N,BEIJING,CHINA,N
370,371,2nd,"Clarke, Mrs Charles V. (Ada Maria)",,Southampton,"England / San Francisco, CA",,,14,female,Y,TEL AVIV,ISRAEL,Y
371,372,2nd,"Coleridge, Mr Reginald Charles",29,Southampton,"Hartford, Huntingdonshire",,,,male,Y,,,N
372,373,2nd,"Collander, Mr Erik",27,Southampton,"Helsinki, Finland Ashtabula, Ohio",,,,male,N,EDINBURGH,SCOTLAND,N
373,374,2nd,"Collett, Mr Sidney C. Stuart",24,Southampton,"London / Fort Byron, NY",,,9,male,N,BEIJING,CHINA,Y
374,375,2nd,"Collyer, Mr Harvey",35,Southampton,"Bishopstoke, Hants / Fayette Valley, ID",,,,male,N,EDINBURGH,SCOTLAND,N
375,376,2nd,"Collyer, Mrs Harvey (Charlotte Tate)",31,Southampton,"Bishopstoke, Hants / Fayette Valley, ID",,,14,female,N,,,Y
376,377,2nd,"Collyer, Miss Marjorie",8,Southampton,"Bishopstoke, Hants / Fayette Valley, ID",,,14,female,N,SYDNEY,AUSTRALIA,Y
377,378,2nd,"Cook, Mrs Selena Rogers",22,Southampton,Pennsylvania,F-33,,14,female,N,LONDON,UNITED KINGDOM,N
378,379,2nd,"Corbett, Mrs Walter H. (Irene Colvin)",30,Southampton,"Provo, UT",,,,female,N,KUALA LUMPUR,MALAYSIA,N
379,380,2nd,"Corey, Mrs Percy C. (Mary Phyllis Elizabeth Miller)",,Southampton,"Upper Burma, India Pittsburgh, PA",,,,female,N,KUALA LUMPUR,MALAYSIA,N
380,381,2nd,"Cotterill, Mr Harry",20,Southampton,"Penzance, Cornwall / Akron, OH",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
381,382,2nd,"Cunningham, Mr Alfred Fleming",,,Belfast,,,,male,N,,,N
382,383,2nd,"Davies, Mr Charles Henry",21,Southampton,"Lyndhurst, England",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
383,384,2nd,"Davis, Mrs Agnes",49,Southampton,"St Ives, Cornwall / Hancock, MI",,,,female,Y,MONTREAL,CANADA,Y
384,385,2nd,"Davis, Master John Morgan",8,Southampton,"St Ives, Cornwall / Hancock, MI",,,,male,Y,,,Y
385,386,2nd,"Davis, Miss Mary",28,Southampton,"London / Staten Island, NY",,,13,female,N,,,Y
386,387,2nd,"Deacon, Mr Percy",18,Southampton,,,,,male,Y,,,N
387,388,2nd,"de Brito, Mr Jose Joaquim",,,"Portugal / Sau Paulo, Brazil",,,,male,N,NICE,FRANCE,N
388,389,2nd,"del Carlo, Mr Sebastiano",28,Cherbourg,"Lucca, Italy / California",,,-295,male,Y,,,N
389,390,2nd,"del Carlo, Mrs Sebastiano (Argenia Genovese)",22,Cherbourg,"Lucca, Italy / California",,,,female,N,TEL AVIV,ISRAEL,Y
390,391,2nd,"Denbury, Mr Herbert",25,Southampton,"Guernsey / Elizabeth, NJ",,,,male,Y,KUALA LUMPUR,MALAYSIA,N
391,392,2nd,"Dibden, Mr William",18,Southampton,"New Forest, England",,,,male,Y,EDINBURGH,SCOTLAND,N
392,393,2nd,"Doling, Mrs Ada",32,Southampton,Southampton,,,,female,Y,RIO DE JANEIRO,BRAZIL,Y
393,394,2nd,"Doling, Miss Elsie",18,Southampton,Southampton,,,,female,Y,SANTA MONICA,UNITED STATES,Y
394,395,2nd,"Downton (?Douton), Mr William James",,Southampton,"Holley, NY",,,,male,N,,,N
395,396,2nd,"Drew, Mr James Vivian",42,Southampton,"Greenport, NY",,28220 L32 10s,,male,N,ISTANBUL,TURKEY,N
396,397,2nd,"Drew, Mrs James Vivian (Lulu Thorne Christian)",34,Southampton,"Greenport, NY",,28220 L32 10s,,female,Y,SYDNEY,AUSTRALIA,Y
397,398,2nd,"Drew, Master Marshall Brines",8,Southampton,"Greenport, NY",,28220 L32 10s,,male,N,MIAMI BEACH,FLORIDA,Y
398,399,2nd,"Duran y More, Miss Asuncion",,Cherbourg,"Barcelona, Spain / Havana, Cuba",,,12,female,N,CHICAGO,UNITED STATES,Y
